,age,portion,item,risk,why,term,bearing,types,profit_exp,conf,res_1,res_2,tf1,tf2,tf3,tf4,stock_type,risk_level
159,18-22,21-40%,10-20k,5-10%,3. As a part of experience :),Long (More than 3 years),2,"['Leverage', 'Individual Stocks']",40-80%,10,5. Remain calm and keep the portfolio as is,"4. Volatility is inevitable, so only sell the least increased assets",Long term,Don't know,False,Don't know,"['Cloud Computing', 'Semiconductors', 'Airline', 'BlockChain', 'Traveling', 'Luxury goods', 'Social Media', 'Telecommunication', 'Franchise', 'Retail', 'Real Estate']",medium
160,31-45,81-100%,10-20k,5-10%,1. Stock as a part of portfolio,Quite Long (1~3 year),4,"['Individual Stocks', 'Leverage']",40-80%,7,1. Sell everything and give up,"4. Volatility is inevitable, so only sell the least increased assets",Short term,Don't know,False,True,"['Cloud Computing', 'Luxury goods']",medium
161,46-65,0-20%,>80k,over 30%,1. Stock as a part of portfolio,Quite Long (1~3 year),6,"['ETF', 'Individual Stocks', 'Fund', 'Leverage']",40-80%,10,2. Sell majority of stock and take some time before re-enter,2. Sell majority of stock and take some time before re-enter,Long term,False,True,False,"['Semiconductors', 'Social Media', 'BlockChain', 'Franchise', 'Traveling', 'Entertainment', 'Real Estate', 'Airline', 'Telecommunication', 'Retail', 'Luxury goods', 'Energy & Resources', 'Cloud Computing']",medium
162,>65,41-60%,>80k,10-20%,3. As a part of experience :),Very short (1 month),2,"['Leverage', 'ETF', 'Individual Stocks']",20-40%,3,5. Remain calm and keep the portfolio as is,5. Keep the portfolio as is,Don't know,Don't know,False,True,"['Energy & Resources', 'BlockChain', 'Real Estate', 'Telecommunication', 'Cloud Computing', 'Airline', 'Social Media', 'Traveling', 'Semiconductors']",medium
163,>65,81-100%,0-10k,0-5%,1. Stock as a part of portfolio,Long (More than 3 years),8,"['Individual Stocks', 'Fund', 'ETF', 'Leverage']",0-10%,3,"4. Volatility is inevitable, so only sell the weak assets",5. Keep the portfolio as is,Don't know,True,False,True,"['Retail', 'BlockChain', 'Traveling', 'Franchise', 'Luxury goods']",medium
164,18-22,41-60%,40-80k,over 30%,1. Stock as a part of portfolio,Short Term (within 3 months),3,"['Leverage', 'Individual Stocks']",40-80%,5,2. Sell majority of stock and take some time before re-enter,2. Sell majority of stock and take some time before re-enter,Don't know,Don't know,False,Don't know,"['Cloud Computing', 'Retail', 'Entertainment', 'Energy & Resources', 'Airline', 'Telecommunication', 'BlockChain', 'Franchise', 'Semiconductors', 'Social Media']",medium
165,46-65,61-80%,20-40k,5-10%,3. As a part of experience :),Long (More than 3 years),3,['Individual Stocks'],20-40%,2,2. Sell majority of stock and take some time before re-enter,5. Keep the portfolio as is,Short term,Don't know,Don't know,Don't know,"['Airline', 'BlockChain', 'Cloud Computing', 'Semiconductors']",medium
166,18-22,61-80%,10-20k,0-5%,2. Only source of profit,Regular (6month~1 year),6,"['ETF', 'Fund', 'Leverage', 'Individual Stocks']",0-10%,10,"4. Volatility is inevitable, so only sell the weak assets",1. Sell everything and gain profit,Don't know,False,Don't know,False,"['Entertainment', 'Real Estate', 'BlockChain', 'Energy & Resources', 'Semiconductors', 'Retail', 'Franchise']",medium
167,31-45,41-60%,40-80k,over 30%,2. Only source of profit,Quite Long (1~3 year),3,"['Fund', 'ETF', 'Leverage', 'Individual Stocks']",0-10%,1,"4. Volatility is inevitable, so only sell the weak assets","3. Take out 50%, and wait for further growth",Long term,True,False,False,"['Traveling', 'Telecommunication']",medium
168,31-45,61-80%,>80k,10-20%,2. Only source of profit,Short Term (within 3 months),8,['ETF'],>80%,6,"4. Volatility is inevitable, so only sell the weak assets",5. Keep the portfolio as is,Don't know,True,Don't know,True,"['Energy & Resources', 'Telecommunication']",medium
169,18-22,41-60%,>80k,5-10%,2. Only source of profit,Short Term (within 3 months),7,"['Fund', 'Individual Stocks', 'ETF', 'Leverage']",10-20%,10,2. Sell majority of stock and take some time before re-enter,2. Sell majority of stock and take some time before re-enter,Long term,False,Don't know,True,"['Traveling', 'Franchise', 'Luxury goods', 'Semiconductors', 'Telecommunication', 'Airline']",medium
170,23-30,81-100%,0-10k,10-20%,1. Stock as a part of portfolio,Short Term (within 3 months),4,"['Individual Stocks', 'Leverage', 'ETF', 'Fund']",0-10%,7,2. Sell majority of stock and take some time before re-enter,5. Keep the portfolio as is,Long term,Don't know,False,False,"['Semiconductors', 'Cloud Computing', 'BlockChain', 'Energy & Resources', 'Social Media', 'Airline', 'Franchise', 'Luxury goods', 'Retail', 'Traveling']",medium
171,23-30,81-100%,10-20k,20-30%,3. As a part of experience :),Long (More than 3 years),2,"['Fund', 'Leverage']",20-40%,4,5. Remain calm and keep the portfolio as is,2. Sell majority of stock and take some time before re-enter,Don't know,Don't know,True,False,"['Luxury goods', 'Telecommunication', 'Entertainment', 'Franchise', 'Real Estate', 'BlockChain', 'Retail', 'Traveling', 'Energy & Resources', 'Semiconductors', 'Cloud Computing']",medium
172,18-22,41-60%,10-20k,0-5%,2. Only source of profit,Very short (1 month),10,"['Leverage', 'ETF', 'Individual Stocks', 'Fund']",10-20%,1,1. Sell everything and give up,"3. Take out 50%, and wait for further growth",Don't know,False,True,True,"['Retail', 'Airline', 'Entertainment', 'Social Media', 'Semiconductors', 'Luxury goods', 'BlockChain', 'Cloud Computing', 'Real Estate', 'Energy & Resources', 'Telecommunication', 'Traveling']",medium
173,>65,21-40%,20-40k,5-10%,3. As a part of experience :),Very short (1 month),6,"['ETF', 'Fund']",>80%,6,"3. Take out 50%, and wait before the rebound",1. Sell everything and gain profit,Don't know,False,True,True,"['Traveling', 'BlockChain', 'Energy & Resources', 'Retail', 'Airline', 'Entertainment', 'Social Media', 'Cloud Computing', 'Semiconductors', 'Luxury goods']",medium
174,23-30,61-80%,20-40k,5-10%,2. Only source of profit,Long (More than 3 years),5,"['Individual Stocks', 'ETF', 'Leverage', 'Fund']",0-10%,9,"3. Take out 50%, and wait before the rebound",2. Sell majority of stock and take some time before re-enter,Long term,False,Don't know,Don't know,"['Luxury goods', 'Retail', 'Traveling', 'Entertainment', 'Energy & Resources', 'Telecommunication', 'Social Media']",medium
175,46-65,41-60%,>80k,0-5%,2. Only source of profit,Very short (1 month),6,"['Fund', 'ETF', 'Individual Stocks']",>80%,10,"4. Volatility is inevitable, so only sell the weak assets",5. Keep the portfolio as is,Don't know,Don't know,True,False,"['Traveling', 'Social Media', 'Luxury goods', 'Telecommunication', 'Real Estate', 'Retail', 'Semiconductors', 'Energy & Resources', 'Franchise']",high
176,23-30,81-100%,40-80k,5-10%,3. As a part of experience :),Quite Long (1~3 year),3,"['Leverage', 'Individual Stocks', 'ETF']",>80%,5,2. Sell majority of stock and take some time before re-enter,"3. Take out 50%, and wait for further growth",Short term,True,Don't know,Don't know,"['Luxury goods', 'Retail', 'Cloud Computing', 'Entertainment']",medium
177,23-30,41-60%,10-20k,5-10%,1. Stock as a part of portfolio,Long (More than 3 years),9,['ETF'],10-20%,5,2. Sell majority of stock and take some time before re-enter,"4. Volatility is inevitable, so only sell the least increased assets",Short term,True,Don't know,False,"['Retail', 'Energy & Resources', 'Entertainment', 'Real Estate', 'Semiconductors', 'Social Media', 'Franchise']",medium
178,>65,41-60%,>80k,5-10%,3. As a part of experience :),Regular (6month~1 year),8,"['Individual Stocks', 'ETF', 'Leverage']",0-10%,6,5. Remain calm and keep the portfolio as is,5. Keep the portfolio as is,Short term,Don't know,Don't know,Don't know,"['Semiconductors', 'Entertainment', 'Retail']",medium
179,31-45,21-40%,10-20k,10-20%,2. Only source of profit,Short Term (within 3 months),3,"['Leverage', 'Fund', 'Individual Stocks', 'ETF']",0-10%,9,5. Remain calm and keep the portfolio as is,1. Sell everything and gain profit,Short term,Don't know,False,Don't know,"['Retail', 'Luxury goods', 'Semiconductors', 'Energy & Resources', 'Social Media', 'Franchise', 'Real Estate', 'Telecommunication', 'Entertainment', 'BlockChain', 'Cloud Computing']",medium
180,23-30,41-60%,0-10k,0-5%,3. As a part of experience :),Quite Long (1~3 year),2,"['Individual Stocks', 'Fund', 'ETF', 'Leverage']",40-80%,8,1. Sell everything and give up,5. Keep the portfolio as is,Don't know,True,False,True,"['Cloud Computing', 'Luxury goods', 'Real Estate', 'Semiconductors']",medium
181,>65,61-80%,20-40k,10-20%,1. Stock as a part of portfolio,Very short (1 month),2,"['Fund', 'Individual Stocks', 'Leverage', 'ETF']",10-20%,2,2. Sell majority of stock and take some time before re-enter,1. Sell everything and gain profit,Long term,False,Don't know,Don't know,"['Franchise', 'Energy & Resources', 'Airline', 'Entertainment']",medium
182,31-45,41-60%,0-10k,0-5%,3. As a part of experience :),Quite Long (1~3 year),10,"['Individual Stocks', 'Fund', 'ETF', 'Leverage']",10-20%,6,5. Remain calm and keep the portfolio as is,"4. Volatility is inevitable, so only sell the least increased assets",Don't know,Don't know,True,False,"['Cloud Computing', 'BlockChain', 'Entertainment', 'Social Media', 'Real Estate', 'Franchise', 'Traveling', 'Semiconductors']",high
183,46-65,61-80%,0-10k,over 30%,2. Only source of profit,Regular (6month~1 year),8,"['ETF', 'Leverage', 'Individual Stocks']",20-40%,6,1. Sell everything and give up,5. Keep the portfolio as is,Don't know,Don't know,True,False,"['Real Estate', 'Retail', 'Energy & Resources']",high
184,23-30,0-20%,>80k,20-30%,2. Only source of profit,Short Term (within 3 months),1,"['Leverage', 'Individual Stocks', 'Fund', 'ETF']",>80%,10,"3. Take out 50%, and wait before the rebound",2. Sell majority of stock and take some time before re-enter,Short term,Don't know,False,False,"['Real Estate', 'Luxury goods']",medium
185,18-22,41-60%,0-10k,20-30%,2. Only source of profit,Quite Long (1~3 year),3,"['Leverage', 'Fund', 'ETF']",0-10%,9,1. Sell everything and give up,"3. Take out 50%, and wait for further growth",Short term,False,False,Don't know,"['Real Estate', 'BlockChain', 'Energy & Resources', 'Semiconductors', 'Cloud Computing', 'Airline', 'Social Media', 'Telecommunication', 'Luxury goods', 'Retail']",medium
186,46-65,0-20%,>80k,5-10%,1. Stock as a part of portfolio,Quite Long (1~3 year),8,['Individual Stocks'],>80%,1,"3. Take out 50%, and wait before the rebound",2. Sell majority of stock and take some time before re-enter,Don't know,Don't know,False,False,"['Franchise', 'Traveling', 'Social Media', 'BlockChain', 'Real Estate', 'Retail', 'Cloud Computing', 'Entertainment', 'Semiconductors', 'Luxury goods', 'Airline', 'Energy & Resources']",low
187,18-22,61-80%,>80k,over 30%,3. As a part of experience :),Regular (6month~1 year),2,"['Fund', 'Leverage', 'Individual Stocks']",>80%,6,5. Remain calm and keep the portfolio as is,1. Sell everything and gain profit,Short term,False,True,False,"['Telecommunication', 'Semiconductors', 'Entertainment', 'Retail', 'Energy & Resources']",medium
188,23-30,41-60%,0-10k,10-20%,3. As a part of experience :),Regular (6month~1 year),6,"['Individual Stocks', 'Fund']",>80%,4,"3. Take out 50%, and wait before the rebound",5. Keep the portfolio as is,Don't know,False,True,True,"['Entertainment', 'Semiconductors', 'Retail', 'Traveling', 'Social Media', 'Airline', 'Luxury goods', 'BlockChain', 'Franchise', 'Real Estate', 'Telecommunication', 'Energy & Resources', 'Cloud Computing']",medium
189,31-45,0-20%,20-40k,10-20%,1. Stock as a part of portfolio,Short Term (within 3 months),2,"['Leverage', 'Individual Stocks', 'Fund']",40-80%,3,2. Sell majority of stock and take some time before re-enter,2. Sell majority of stock and take some time before re-enter,Don't know,False,True,False,"['Cloud Computing', 'Semiconductors', 'Telecommunication', 'Retail', 'Franchise', 'Traveling', 'Luxury goods', 'Energy & Resources', 'Real Estate', 'BlockChain', 'Entertainment', 'Airline', 'Social Media']",medium
190,23-30,21-40%,>80k,over 30%,3. As a part of experience :),Very short (1 month),9,"['ETF', 'Fund']",10-20%,9,5. Remain calm and keep the portfolio as is,"3. Take out 50%, and wait for further growth",Short term,False,False,Don't know,"['Airline', 'Cloud Computing', 'Traveling', 'Semiconductors']",medium
191,46-65,61-80%,>80k,5-10%,3. As a part of experience :),Regular (6month~1 year),8,"['Fund', 'ETF', 'Individual Stocks']",>80%,6,1. Sell everything and give up,1. Sell everything and gain profit,Long term,True,False,Don't know,"['Traveling', 'Cloud Computing', 'Social Media', 'Entertainment', 'Energy & Resources', 'Airline', 'Real Estate', 'Franchise', 'Luxury goods', 'BlockChain']",medium
192,31-45,21-40%,20-40k,5-10%,1. Stock as a part of portfolio,Very short (1 month),8,"['Leverage', 'Individual Stocks']",20-40%,6,"4. Volatility is inevitable, so only sell the weak assets",2. Sell majority of stock and take some time before re-enter,Don't know,Don't know,False,False,"['Energy & Resources', 'Traveling', 'BlockChain', 'Semiconductors']",medium
193,18-22,61-80%,40-80k,over 30%,3. As a part of experience :),Long (More than 3 years),1,"['Leverage', 'ETF', 'Individual Stocks']",10-20%,7,2. Sell majority of stock and take some time before re-enter,2. Sell majority of stock and take some time before re-enter,Short term,False,Don't know,Don't know,"['Franchise', 'Entertainment', 'Semiconductors']",medium
194,>65,0-20%,>80k,over 30%,3. As a part of experience :),Short Term (within 3 months),9,"['Fund', 'Leverage', 'Individual Stocks']",>80%,6,"4. Volatility is inevitable, so only sell the weak assets",1. Sell everything and gain profit,Don't know,Don't know,Don't know,True,"['Real Estate', 'BlockChain', 'Entertainment', 'Traveling', 'Social Media', 'Retail', 'Energy & Resources', 'Franchise', 'Telecommunication']",medium
195,23-30,61-80%,20-40k,20-30%,3. As a part of experience :),Short Term (within 3 months),5,"['Leverage', 'ETF', 'Individual Stocks', 'Fund']",>80%,3,"3. Take out 50%, and wait before the rebound","4. Volatility is inevitable, so only sell the least increased assets",Short term,True,True,Don't know,"['Franchise', 'Cloud Computing', 'Airline', 'Semiconductors', 'Real Estate', 'Retail', 'Luxury goods', 'Entertainment', 'Energy & Resources', 'BlockChain']",high
196,31-45,0-20%,20-40k,20-30%,1. Stock as a part of portfolio,Quite Long (1~3 year),3,"['ETF', 'Individual Stocks']",10-20%,1,5. Remain calm and keep the portfolio as is,2. Sell majority of stock and take some time before re-enter,Long term,Don't know,False,Don't know,"['Entertainment', 'Semiconductors', 'Social Media', 'BlockChain', 'Retail', 'Luxury goods']",low
197,46-65,0-20%,10-20k,0-5%,1. Stock as a part of portfolio,Regular (6month~1 year),10,['Individual Stocks'],>80%,7,2. Sell majority of stock and take some time before re-enter,"4. Volatility is inevitable, so only sell the least increased assets",Don't know,True,True,Don't know,"['Entertainment', 'Telecommunication', 'Retail', 'Cloud Computing', 'Luxury goods', 'Traveling', 'Energy & Resources', 'Semiconductors', 'Franchise', 'Airline', 'Real Estate', 'BlockChain']",medium
198,23-30,41-60%,20-40k,10-20%,3. As a part of experience :),Quite Long (1~3 year),2,"['Leverage', 'ETF']",10-20%,9,"4. Volatility is inevitable, so only sell the weak assets",5. Keep the portfolio as is,Long term,False,False,False,"['Social Media', 'Energy & Resources', 'Airline', 'Luxury goods', 'Entertainment', 'Cloud Computing']",medium
199,18-22,61-80%,20-40k,0-5%,1. Stock as a part of portfolio,Regular (6month~1 year),8,"['Leverage', 'ETF']",10-20%,3,"3. Take out 50%, and wait before the rebound",1. Sell everything and gain profit,Don't know,True,False,Don't know,['Retail'],medium
200,>65,0-20%,10-20k,10-20%,2. Only source of profit,Short Term (within 3 months),9,['ETF'],0-10%,7,"4. Volatility is inevitable, so only sell the weak assets",1. Sell everything and gain profit,Long term,Don't know,Don't know,Don't know,"['Semiconductors', 'Retail', 'Entertainment', 'Franchise', 'Airline', 'Energy & Resources', 'Telecommunication', 'BlockChain', 'Real Estate', 'Luxury goods', 'Traveling', 'Cloud Computing']",medium
201,23-30,0-20%,>80k,20-30%,2. Only source of profit,Long (More than 3 years),4,['Leverage'],0-10%,1,"3. Take out 50%, and wait before the rebound","3. Take out 50%, and wait for further growth",Short term,True,True,Don't know,"['Energy & Resources', 'Airline', 'Franchise', 'Entertainment']",medium
202,46-65,81-100%,>80k,5-10%,3. As a part of experience :),Short Term (within 3 months),4,"['Individual Stocks', 'ETF', 'Leverage']",>80%,6,1. Sell everything and give up,"4. Volatility is inevitable, so only sell the least increased assets",Long term,True,True,True,"['Social Media', 'Energy & Resources', 'Airline', 'Retail', 'Telecommunication', 'Cloud Computing', 'Franchise', 'Real Estate', 'Luxury goods', 'Traveling']",medium
203,23-30,21-40%,10-20k,5-10%,1. Stock as a part of portfolio,Short Term (within 3 months),10,"['Individual Stocks', 'ETF', 'Fund']",0-10%,9,5. Remain calm and keep the portfolio as is,"4. Volatility is inevitable, so only sell the least increased assets",Short term,Don't know,False,Don't know,"['Cloud Computing', 'Traveling']",medium
204,23-30,21-40%,40-80k,5-10%,2. Only source of profit,Regular (6month~1 year),2,"['Fund', 'ETF', 'Leverage', 'Individual Stocks']",10-20%,10,5. Remain calm and keep the portfolio as is,"3. Take out 50%, and wait for further growth",Don't know,False,Don't know,True,"['Semiconductors', 'Traveling', 'Luxury goods', 'Franchise', 'Airline', 'Telecommunication', 'Social Media', 'BlockChain', 'Retail', 'Entertainment', 'Energy & Resources', 'Cloud Computing']",medium
205,46-65,41-60%,40-80k,5-10%,3. As a part of experience :),Short Term (within 3 months),7,['Leverage'],20-40%,4,1. Sell everything and give up,2. Sell majority of stock and take some time before re-enter,Long term,Don't know,True,False,"['Telecommunication', 'Cloud Computing', 'Real Estate', 'Energy & Resources', 'Social Media', 'Retail', 'Traveling', 'Luxury goods', 'Airline', 'Entertainment', 'Semiconductors']",medium
206,23-30,61-80%,40-80k,10-20%,1. Stock as a part of portfolio,Quite Long (1~3 year),8,"['Fund', 'ETF', 'Leverage']",10-20%,7,"4. Volatility is inevitable, so only sell the weak assets","4. Volatility is inevitable, so only sell the least increased assets",Don't know,False,Don't know,False,['Retail'],medium
207,18-22,41-60%,40-80k,20-30%,2. Only source of profit,Short Term (within 3 months),2,"['Fund', 'Leverage', 'ETF']",10-20%,4,1. Sell everything and give up,5. Keep the portfolio as is,Don't know,False,True,Don't know,"['Entertainment', 'Airline', 'Real Estate', 'Social Media']",medium
208,>65,61-80%,0-10k,20-30%,2. Only source of profit,Long (More than 3 years),1,"['Fund', 'ETF']",40-80%,7,5. Remain calm and keep the portfolio as is,"3. Take out 50%, and wait for further growth",Long term,Don't know,False,Don't know,"['Traveling', 'Cloud Computing']",medium
209,31-45,61-80%,20-40k,over 30%,1. Stock as a part of portfolio,Very short (1 month),8,"['Individual Stocks', 'Fund', 'ETF']",40-80%,10,"4. Volatility is inevitable, so only sell the weak assets",2. Sell majority of stock and take some time before re-enter,Long term,True,False,False,"['Energy & Resources', 'Social Media', 'Airline', 'Luxury goods', 'Cloud Computing', 'BlockChain', 'Franchise', 'Traveling', 'Semiconductors', 'Entertainment', 'Retail', 'Telecommunication']",high
210,46-65,41-60%,>80k,0-5%,2. Only source of profit,Quite Long (1~3 year),1,"['Leverage', 'Individual Stocks', 'Fund', 'ETF']",0-10%,1,"4. Volatility is inevitable, so only sell the weak assets",1. Sell everything and gain profit,Don't know,Don't know,Don't know,True,"['Retail', 'Cloud Computing', 'Franchise', 'Social Media', 'Luxury goods', 'Telecommunication', 'Entertainment', 'Semiconductors', 'BlockChain', 'Energy & Resources', 'Airline']",low
211,>65,0-20%,10-20k,over 30%,2. Only source of profit,Very short (1 month),4,"['Individual Stocks', 'Fund', 'ETF', 'Leverage']",0-10%,6,5. Remain calm and keep the portfolio as is,"3. Take out 50%, and wait for further growth",Don't know,True,Don't know,Don't know,"['Energy & Resources', 'Semiconductors', 'BlockChain']",high
212,23-30,0-20%,>80k,0-5%,2. Only source of profit,Regular (6month~1 year),8,"['Individual Stocks', 'ETF', 'Leverage']",10-20%,10,"3. Take out 50%, and wait before the rebound",2. Sell majority of stock and take some time before re-enter,Don't know,False,True,Don't know,"['Franchise', 'Airline', 'Social Media', 'Energy & Resources', 'Retail', 'Traveling', 'Telecommunication']",medium
213,18-22,81-100%,0-10k,0-5%,1. Stock as a part of portfolio,Very short (1 month),7,['Fund'],10-20%,8,"3. Take out 50%, and wait before the rebound","4. Volatility is inevitable, so only sell the least increased assets",Don't know,False,True,Don't know,"['Franchise', 'Entertainment']",medium
214,>65,21-40%,>80k,over 30%,3. As a part of experience :),Quite Long (1~3 year),10,"['Individual Stocks', 'ETF', 'Fund']",>80%,6,"4. Volatility is inevitable, so only sell the weak assets",5. Keep the portfolio as is,Don't know,False,True,False,"['Social Media', 'Franchise', 'Airline', 'Luxury goods', 'Cloud Computing', 'Entertainment']",high
215,>65,81-100%,40-80k,10-20%,3. As a part of experience :),Very short (1 month),9,"['Fund', 'ETF', 'Individual Stocks']",20-40%,8,"3. Take out 50%, and wait before the rebound","3. Take out 50%, and wait for further growth",Short term,Don't know,False,True,"['Telecommunication', 'Social Media', 'Energy & Resources', 'Franchise']",medium
216,>65,0-20%,0-10k,20-30%,1. Stock as a part of portfolio,Quite Long (1~3 year),9,"['Leverage', 'Individual Stocks', 'ETF', 'Fund']",10-20%,5,"4. Volatility is inevitable, so only sell the weak assets",5. Keep the portfolio as is,Short term,False,True,True,"['Real Estate', 'Cloud Computing', 'Traveling', 'BlockChain']",high
217,46-65,61-80%,>80k,20-30%,2. Only source of profit,Very short (1 month),10,"['Individual Stocks', 'Fund', 'Leverage', 'ETF']",20-40%,10,5. Remain calm and keep the portfolio as is,5. Keep the portfolio as is,Long term,True,Don't know,Don't know,"['Entertainment', 'Traveling', 'Telecommunication', 'Retail', 'Semiconductors', 'Energy & Resources']",high
218,>65,21-40%,10-20k,5-10%,3. As a part of experience :),Regular (6month~1 year),8,"['ETF', 'Fund', 'Leverage']",40-80%,9,2. Sell majority of stock and take some time before re-enter,"3. Take out 50%, and wait for further growth",Short term,False,Don't know,True,"['Luxury goods', 'BlockChain', 'Retail', 'Semiconductors', 'Energy & Resources', 'Social Media', 'Telecommunication', 'Entertainment', 'Airline']",medium
219,31-45,81-100%,20-40k,over 30%,3. As a part of experience :),Short Term (within 3 months),10,"['Leverage', 'Individual Stocks']",40-80%,1,2. Sell majority of stock and take some time before re-enter,1. Sell everything and gain profit,Short term,False,True,Don't know,"['Social Media', 'Franchise', 'Luxury goods', 'Traveling', 'Retail', 'Semiconductors', 'Energy & Resources', 'Real Estate', 'Telecommunication', 'Airline', 'Cloud Computing', 'Entertainment']",medium
220,>65,21-40%,0-10k,20-30%,3. As a part of experience :),Quite Long (1~3 year),6,"['ETF', 'Leverage', 'Fund']",10-20%,3,"4. Volatility is inevitable, so only sell the weak assets",5. Keep the portfolio as is,Don't know,False,True,Don't know,"['BlockChain', 'Semiconductors', 'Energy & Resources', 'Traveling', 'Telecommunication', 'Luxury goods', 'Franchise', 'Cloud Computing', 'Real Estate', 'Social Media', 'Entertainment']",medium
221,31-45,81-100%,0-10k,10-20%,1. Stock as a part of portfolio,Long (More than 3 years),10,"['Leverage', 'Fund']",0-10%,9,"4. Volatility is inevitable, so only sell the weak assets",2. Sell majority of stock and take some time before re-enter,Long term,True,True,False,"['Cloud Computing', 'Traveling']",high
222,46-65,41-60%,>80k,0-5%,3. As a part of experience :),Short Term (within 3 months),8,"['ETF', 'Individual Stocks', 'Leverage']",0-10%,1,"4. Volatility is inevitable, so only sell the weak assets","3. Take out 50%, and wait for further growth",Don't know,Don't know,Don't know,True,"['Airline', 'Retail', 'Real Estate']",medium
223,18-22,0-20%,40-80k,over 30%,3. As a part of experience :),Regular (6month~1 year),3,"['Fund', 'ETF', 'Leverage', 'Individual Stocks']",0-10%,1,5. Remain calm and keep the portfolio as is,1. Sell everything and gain profit,Long term,Don't know,Don't know,Don't know,"['Energy & Resources', 'Social Media', 'Cloud Computing', 'Traveling', 'Franchise', 'BlockChain', 'Telecommunication', 'Retail', 'Semiconductors']",low
224,>65,41-60%,20-40k,10-20%,1. Stock as a part of portfolio,Long (More than 3 years),1,"['Leverage', 'Individual Stocks', 'Fund', 'ETF']",>80%,7,1. Sell everything and give up,"4. Volatility is inevitable, so only sell the least increased assets",Long term,True,Don't know,True,"['Cloud Computing', 'Semiconductors']",medium
225,31-45,0-20%,40-80k,10-20%,2. Only source of profit,Quite Long (1~3 year),5,"['ETF', 'Individual Stocks']",>80%,7,2. Sell majority of stock and take some time before re-enter,"4. Volatility is inevitable, so only sell the least increased assets",Long term,False,True,True,"['Entertainment', 'Airline', 'BlockChain', 'Semiconductors']",medium
226,>65,41-60%,>80k,over 30%,2. Only source of profit,Regular (6month~1 year),9,['Leverage'],0-10%,1,2. Sell majority of stock and take some time before re-enter,2. Sell majority of stock and take some time before re-enter,Short term,True,True,True,"['Energy & Resources', 'Airline', 'Telecommunication', 'Cloud Computing', 'Luxury goods', 'Real Estate', 'Retail', 'Semiconductors', 'Social Media', 'Franchise', 'Traveling']",medium
227,>65,21-40%,10-20k,5-10%,2. Only source of profit,Short Term (within 3 months),1,"['Individual Stocks', 'ETF', 'Fund']",0-10%,8,"4. Volatility is inevitable, so only sell the weak assets",2. Sell majority of stock and take some time before re-enter,Short term,False,True,Don't know,"['Energy & Resources', 'Semiconductors', 'BlockChain', 'Luxury goods', 'Cloud Computing', 'Franchise', 'Telecommunication', 'Social Media', 'Entertainment', 'Retail', 'Traveling', 'Airline', 'Real Estate']",medium
228,46-65,81-100%,20-40k,20-30%,3. As a part of experience :),Short Term (within 3 months),3,"['Leverage', 'Fund']",40-80%,1,2. Sell majority of stock and take some time before re-enter,2. Sell majority of stock and take some time before re-enter,Long term,False,True,False,"['Luxury goods', 'Energy & Resources', 'Airline', 'Social Media', 'Semiconductors', 'Franchise', 'BlockChain', 'Cloud Computing']",medium
229,31-45,61-80%,>80k,5-10%,1. Stock as a part of portfolio,Very short (1 month),8,"['Fund', 'Leverage', 'Individual Stocks', 'ETF']",10-20%,8,5. Remain calm and keep the portfolio as is,"3. Take out 50%, and wait for further growth",Short term,Don't know,Don't know,Don't know,"['Semiconductors', 'Airline', 'Entertainment', 'Luxury goods']",high
230,18-22,0-20%,0-10k,over 30%,1. Stock as a part of portfolio,Long (More than 3 years),5,"['Fund', 'Individual Stocks', 'ETF', 'Leverage']",10-20%,5,5. Remain calm and keep the portfolio as is,2. Sell majority of stock and take some time before re-enter,Long term,True,Don't know,False,"['Luxury goods', 'Social Media', 'Retail', 'Traveling', 'Entertainment', 'Airline', 'Semiconductors', 'BlockChain', 'Energy & Resources', 'Franchise']",medium
231,23-30,81-100%,40-80k,20-30%,1. Stock as a part of portfolio,Regular (6month~1 year),8,"['Individual Stocks', 'Leverage']",>80%,3,"3. Take out 50%, and wait before the rebound","3. Take out 50%, and wait for further growth",Short term,True,Don't know,False,['Traveling'],high
232,23-30,0-20%,>80k,10-20%,1. Stock as a part of portfolio,Short Term (within 3 months),3,"['ETF', 'Leverage', 'Individual Stocks', 'Fund']",10-20%,8,2. Sell majority of stock and take some time before re-enter,"3. Take out 50%, and wait for further growth",Short term,True,Don't know,True,"['BlockChain', 'Luxury goods', 'Traveling']",medium
233,31-45,81-100%,0-10k,5-10%,1. Stock as a part of portfolio,Quite Long (1~3 year),9,"['Leverage', 'ETF', 'Fund']",0-10%,10,1. Sell everything and give up,5. Keep the portfolio as is,Don't know,Don't know,True,Don't know,['Real Estate'],medium
234,>65,41-60%,>80k,10-20%,2. Only source of profit,Very short (1 month),1,['Individual Stocks'],10-20%,7,1. Sell everything and give up,1. Sell everything and gain profit,Long term,Don't know,False,Don't know,"['Real Estate', 'Luxury goods', 'BlockChain']",low
235,46-65,61-80%,40-80k,10-20%,3. As a part of experience :),Quite Long (1~3 year),4,"['Leverage', 'Fund', 'Individual Stocks']",0-10%,8,"4. Volatility is inevitable, so only sell the weak assets",2. Sell majority of stock and take some time before re-enter,Long term,Don't know,False,Don't know,"['Cloud Computing', 'Entertainment', 'Luxury goods', 'Energy & Resources', 'Telecommunication', 'Semiconductors', 'Traveling', 'Real Estate', 'BlockChain', 'Retail', 'Airline', 'Social Media']",medium
